course_title,course_code,prerequisites,section,session,credits,campus,instructor,times,location,course_description,themes,year,semester,restriction,course_level,course_type
BRIDGE COURSE I - NURSING SKILLS I,BSN010,No prerequisite(s) for this course,0,15w,0,AUA Main Campus,Talin Gulgulian,TUE 7:00am-10:00am,205N Sim. Lab Najarian,"This course is designed to enhance basic nursing skills. It will serve as an introductory course to describe and review latest evidence in practice of basic nursing skills. During this course, students will build on their work experience. It is a course",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Nursing Program's core or track elective course
BRIDGE COURSE II - NURSING SKILLS II,BSN020,No prerequisite(s) for this course,0,15w,0,AUA Main Campus,Vicky Herkelian,TUE 5:00pm-8:00pm,205N Sim. Lab Najarian,"This course builds on the Bridge I course to further enhance clinical nursing skills. Students will learn evidence-based approaches and clinical care guidelines in assessment, nursing diagnosis, outcome identification, planning, implementing, and evaluating patient care processes. The course emphasizes the role of the BSN nurse in providing safe and competent nursing care to patients using clinical judgment. Examples of core nursing skills covered will include expanding on abnormal health assessment findings as per systems, safe medication administration and dosage calculation, and essential nursing care treatments. The course will include a hands on practice component.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Nursing Program's core or track elective course
PROFESSIONAL NURSING PRACTICE,BSN101,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Jennifer Dods,MON 3:30pm-6:20pm,Classroom 408E Paramaz Avedissian Building,"In this course students will explore recent issues affecting the nursing profession in terms of role expansion of the nurse. Three main areas will be covered including concepts such as compassionate care, professional practice, evidence-based practice, ethical practice, effective communication, person and family centeredness, health promotion and disease prevention, quality and safety in healthcare delivery, and interprofessional practice. The second area includes nursing roles such as the role of the nurse as care provider, educator, researcher, manager, advocate, leader, monitor and auditor of quality and safe care, and policy maker. The third area focuses on the nursing process as an organizing framework for nursing practice.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Nursing Program's core or track elective course
HEALTH ASSESSMENT ACROSS AGE GROUPS,BSN201,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Jennifer Dods,FRI 3:30pm-6:20pm,Classroom 408E Paramaz Avedissian Building,"This course integrates a holistic person-centered approach to health assessment of various age groups. The role of the nurse as diagnostician, communicator, teacher, and collaborator is emphasized throughout the health assessment process. It focuses on the development of effective communication skills in history taking, physical assessment, and documentation. Emphasis is placed on the assessment of the physical, psychosocial, and cultural dimensions of the client. Assessment of children and older adults are discussed.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Nursing Program's core or track elective course
RESEARCH IN NURSING,BSN205,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Adena Alahverdian,"TUE 6:30pm-7:20pm, THU 3:30pm-5:20pm","Classroom 407E Paramaz Avedissian Building, Classroom 414W Paramaz Avedissian Building","The Nursing Research course is an introduction to the research process. The course covers both quantitative and qualitative research methods, various research designs, sampling methods, data collection methods, analysis and interpretation of results. There will be emphasis on the critical evaluation of research articles, and the utilization of research findings to promote evidence-based Nursing practice. Research proposal development/scientific writing will be covered in the course. Pre-requisite: Senior standing*.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Nursing Program's core or track elective course
"COMMUNITY HEALTH NURSING, PUBLIC & POPULATION HEALTH",BSN210,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Vicky Herkelian,MON 3:30pm-6:20pm,Classroom 407E Paramaz Avedissian Building,"Community Health Nursing (CHN) course builds upon the community and public health nursing science, humanities and social sciences to empower nursing students comprehend the role of the community health nurse working directly with individuals, families and groups in the delivery of evidence-based care in community health services. CHN responsibilities include working directly with individuals, families and small groups to promote, preserve and maintain health anywhere on the health illness continuum at all stages of the life cycle. Pre-requisite: Senior standing*",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Nursing Program's core or track elective course
LEADING AND MANAGING NURSING AND HEALTHCARE SERVICES,BSN221,No prerequisite(s) for this course,0,15w,6,AUA Main Campus,Vicky Herkelian,"TUE 3:30pm-6:20pm, THU 5:30pm-7:20pm","Classroom 407E Paramaz Avedissian Building, Classroom 408E Paramaz Avedissian Building","This course introduces the students to the managerial functions and the leadership skills needed to provide high quality nursing care in various healthcare settings. It includes a theory component and clinical assignments. The theory part comprises four modules: module 1 presents the historical evolution of management and leadership theories and how did we arrive at what we understand about leadership and management today; module 2 introduces the scientific approaches to planning, organizing, implementing, and controlling client care; module 3 describes the behavioral approaches to effective communication, problem solving, change management, staff motivation, and creating a safe work environment; and module 4 focuses on the use of international patient safety goals to enhance patient safety in hospitals and community centers. Pre-requisite: Senior standing*.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Nursing Program's core or track elective course
NURSING ENHANCEMENT IN SPECIAL TOPICS: PATHOPHYSIOLOGY,BSN271,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Jennifer Dods,WED 3:30pm-6:20pm,Classroom 407E Paramaz Avedissian Building,"This course enhances student understanding of basic pathophysiology concepts through the lens of alterations in body functions, using a conceptual approach. It provides basic knowledge of pathophysiologic processes, disease risk factors, and physical manifestations in related body systems—integrating genetic, developmental, cultural, and environmental influences. The course emphasizes active student learning and application to real-life clinical scenarios, allowing students to gain valuable insight into disease processes.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Nursing Program's core or track elective course
PRE-TERM QUANTITATIVE METHODS,BUS050,No prerequisite(s) for this course,0,preterm CB,1.68,AUA Main Campus,Nelli Muradyan,"TUE 6:30pm-9:50pm, FRI 6:30pm-9:50pm",Classroom 214W Paramaz Avedissian Building,"This intensive workshop for incoming students is designed to refresh the basic quantitative tools essential for the successful completion of the program. The course content provides the student with a number of mathematical and statistical tools frequently used in business analysis, marketing research, operations management and finance. Topics include: linear and exponential growth, data analysis and description statistics (mean, median, mode, range, variance, deviation), basic concepts of probability, hypothesis testing, introduction to linear regression, basics of linear programming, compound interest, discounting and calculation of Net Present Value. Topics may change according to the needs of the participating students. The main software used is Microsoft Excel. The course can be waived by placement test.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Business Program's core or track elective course
EFFECTIVE COMMUNICATIONS,BUS051,No prerequisite(s) for this course,0,preterm CB,2,AUA Main Campus,Hilda Grigorian,TBD,Not specified,"This course prepares students to meet the challenge of professional oral communications. Through prepared and impromptu speeches, peer coaching, and lectures, it provides students with the opportunity to develop the necessary skills for effective public speaking, skills that will make them articulate, confident, organized, competent and persuasive speakers. The course exposes students to a variety of communication and presentation styles and modes, helps students develop critical listening skills, and improve their abilities to give, receive, and apply feedback.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Business Program's core or track elective course
INTRODUCTION TO BUSINESS,BUS101,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Ruben Melikyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 308E Paramaz Avedissian Building,"Introduction to Business is a required course for first-year BAB majors. This course addresses the basic functions and activities of business both individually and collectively in the generation of jobs, the production and dissemination of needed goods, the pursuit of innovation, the creation of social and personal assets, and the satisfaction of individual and societal needs and wants. The course also examines ways that individuals can responsibly manage their own financial health and welfare as part of the larger economic system. Students will be encouraged to relate the material covered to their own life experiences and to critical national and international challenges. Home tasks will include reading, writing reports on important current issues that relate to the subject matter, and reflections on personal observations and analyses.","This course belongs to themes 4, 5.",202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
INTRODUCTION TO BUSINESS,BUS101,No prerequisite(s) for this course,B,15W,3,AUA Main Campus,Arsen Chilingaryan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 213W Paramaz Avedissian Building,"Introduction to Business is a required course for first-year BAB majors. This course addresses the basic functions and activities of business both individually and collectively in the generation of jobs, the production and dissemination of needed goods, the pursuit of innovation, the creation of social and personal assets, and the satisfaction of individual and societal needs and wants. The course also examines ways that individuals can responsibly manage their own financial health and welfare as part of the larger economic system. Students will be encouraged to relate the material covered to their own life experiences and to critical national and international challenges. Home tasks will include reading, writing reports on important current issues that relate to the subject matter, and reflections on personal observations and analyses.","This course belongs to themes 4, 5.",202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
INTRODUCTION TO BUSINESS,BUS101,No prerequisite(s) for this course,C,15w,3,AUA Main Campus,Michael Kouchakdjian,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 208E Paramaz Avedissian Building,"Introduction to Business is a required course for first-year BAB majors. This course addresses the basic functions and activities of business both individually and collectively in the generation of jobs, the production and dissemination of needed goods, the pursuit of innovation, the creation of social and personal assets, and the satisfaction of individual and societal needs and wants. The course also examines ways that individuals can responsibly manage their own financial health and welfare as part of the larger economic system. Students will be encouraged to relate the material covered to their own life experiences and to critical national and international challenges. Home tasks will include reading, writing reports on important current issues that relate to the subject matter, and reflections on personal observations and analyses.","This course belongs to themes 4, 5.",202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
INTRODUCTION TO BUSINESS,BUS101,No prerequisite(s) for this course,D,15w,3,AUA Main Campus,Michael Kouchakdjian,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 208E Paramaz Avedissian Building,"Introduction to Business is a required course for first-year BAB majors. This course addresses the basic functions and activities of business both individually and collectively in the generation of jobs, the production and dissemination of needed goods, the pursuit of innovation, the creation of social and personal assets, and the satisfaction of individual and societal needs and wants. The course also examines ways that individuals can responsibly manage their own financial health and welfare as part of the larger economic system. Students will be encouraged to relate the material covered to their own life experiences and to critical national and international challenges. Home tasks will include reading, writing reports on important current issues that relate to the subject matter, and reflections on personal observations and analyses.","This course belongs to themes 4, 5.",202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
SINGLE-VARIABLE CALCULUS FOR BUSINESS AND ECONOMICS,BUS109,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Mher Martirosyan,"MON 8:30am-9:20am, WED 8:30am-9:20am, FRI 8:30am-9:20am",Classroom 213W Paramaz Avedissian Building,This course offers a tailored introduction to calculus for first-year business students. It includes the fundamental concepts of differentiation and integration theory for single-variable functions with a good focus on practical applications in business and economics. The study of numerical sequences and series is presented at a level that enables the solving of basic problems expressed in terms of financial economics. The course also includes a brief introduction to differential equations for further modelling real-life scenarios. Students are required to complete weekly reading assignments and solve in-class and homework problem sets.,"This course belongs to themes 7, 8, 9.",202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
